424652,0
424653,688
424654,6278
424655,18662
424662,31992
424663,32422
424664,32680
424665,36722
424666,52460
424672,67510
424673,69230
424674,86688
424675,91418
424676,109134
424817,125388
424825,143534
424826,147834
424827,151532
424834,161336
424835,168904
424836,178708
424837,190576
424844,198660
424845,205970
424846,214054
424847,232286
424854,255506
424855,263676
424856,268492
424857,272190
424864,348472
424865,384850
424866,390612
424867,391730
424872,407124
424873,412026
424874,419938
424875,426818
424876,438858
424877,441438
424910,454596
424920,478934
424930,491576
424931,510496
424940,533114
424941,558742
424950,586950
424951,689118
424952,730914
424960,746394
424961,760756
424962,773742
424970,804702
424971,826116
424972,833254
434527,843660
434536,862666
434537,868686
434545,888294
434546,898098
434547,944452
434555,975240
434556,988484
434557,1040342
434565,1070356
434566,1080246
434567,1121010
434573,1153776
434574,1171922
434575,1191186
434576,1206408
434577,1244162
434602,1337214
434603,1338504
434604,1357166
434605,1370668
434606,1392168
434607,1403520
434611,1409282
434612,1411002
434613,1416506
434614,1429406
434615,1436028
434616,1465354
434617,1487198
434620,1495110
434621,1501474
434622,1505602
434623,1527790
434624,1543786
434625,1551870
434626,1569070
434627,1585926
434630,1610952
434631,1631162
434632,1637096
434633,1661434
434634,1679236
434635,1694716
434636,1750788
434637,1768160
434640,1886668
434641,1917370
434642,1966992
434643,2001392
434644,2010938
434645,2040350
434646,2169522
434647,2197300
434650,2234108
434651,2249330
434652,2273238
434653,2310562
434654,2342468
434655,2374374
434656,2396906
434657,2409290
434660,2427608
434661,2453924
434662,2487206
434663,2529862
434664,2561166
434665,2592900
434666,2625666
434667,2661356
434670,2711150
434671,2748130
434672,2825272
434673,3123090
434674,3198340
434675,3275224
434676,3330866
434677,3382036
434711,3423918
434712,3424004
434720,3428218
434721,3432862
434722,3435528
434723,3446536
434730,3459952
434731,3474142
434732,3482226
434733,3492804
434736,3505446
434737,3506822
434740,3508972
434741,3524710
434742,3525656
434743,3537610
434746,3543286
434747,3549048
434750,3560916
434751,3711416
434752,3734980
434753,3746332
434754,3748138
434755,3748568
434756,3750890
434757,3758716
434760,3767574
434761,3810918
434762,3835170
434763,3855896
434764,3862088
434765,3864840
434766,3878514
434767,3887888
434770,3897950
434771,3919966
434772,3934844
434773,3968126
434774,3992206
434775,4003128
434776,4026778
434777,4067628
434802,4081904
434803,4091278
434804,4095406
434805,4099792
434806,4108736
434807,4129290
434812,4140470
434813,4146318
434814,4151564
434815,4159820
434816,4174010
434817,4207894
434822,4231888
434823,4240316
434824,4248056
434825,4250378
434826,4266890
434827,4325972
434832,4346182
434833,4361662
434834,4364930
434835,4370864
434836,4375336
434837,4387376
434840,4398642
434841,4403200
434842,4415584
434843,4432956
434844,4435364
434845,4439234
434846,4442674
434847,4456520
434850,4461336
434851,4483008
434852,4490748
434853,4504852
434854,4511646
434855,4526352
434856,4537876
434857,4548798
434860,4555248
434861,4575888
434862,4594894
434863,4610718
434864,4615964
434865,4639528
434866,4645806
434867,4659480
434870,4665070
434871,4684592
434872,4737826
434873,4746942
434874,4759154
434875,4772398
434876,4785642
434877,4808174
434900,4809722
434901,4815656
434902,4831308
434910,4838876
434911,4843864
434912,4853238
434920,4874566
434921,4878350
434922,4882994
434930,4890820
434931,4896238
434932,4904494
434940,4907762
434941,4911804
434942,4922038
434950,4929692
434951,4935368
434952,4944656
434960,4950160
434961,4952740
434970,4961856
434971,4973294
444503,4975788
444504,5004598
444505,5202312
444506,5251246
444507,5306372
444512,5629732
444513,5658972
444514,5674452
444515,5717624
444516,5764322
444517,5866318
444522,5912414
444523,5929098
444524,5949050
444525,5973044
444526,5997124
444527,6134466
444532,6166888
444533,6178756
444534,6206878
444535,6231818
444536,6281440
444537,6325472
444543,6356604
444544,6359614
444545,6387650
444546,6563090
444547,6612540
444554,6666462
444555,6679706
444556,6708172
444557,6740938
444564,6773274
444565,6778004
444566,6788754
444567,6813522
444575,6845772
444576,6848008
444577,6873378
444600,6901930
444601,6963506
444602,7024050
444603,7213508
444604,7362546
444605,7646862
444606,7703622
444607,7742322
444610,7754276
444611,7780076
444612,7889468
444613,8088558
444614,8664758
444615,9147562
444616,9316896
444617,9375548
444620,9402982
444621,9428352
